"Order ID","Customer ID","Customer Name",Segment,"Product ID","Product Name",Category,Sub-Category,Quantity,Sales,Discount,Profit,"Order Date","Ship Date","Ship Mode",Region,Country,City,State
CA-2015-113110,BK-11260,"Berenike Kampe",Consumer,OFF-LA-10000240,"Self-Adhesive Address Labels for Typewriters by Universal","Office Supplies",Labels,2,14.62,0,6.8714,2015-03-19,2015-03-23,"Standard Class",West,"United States","San Bernardino",California
CA-2014-117345,BF-10975,"Barbara Fisher",Corporate,OFF-LA-10000240,"Self-Adhesive Address Labels for Typewriters by Universal","Office Supplies",Labels,3,17.544,0.2,5.9211,2014-08-01,2014-08-05,"Standard Class",South,"United States",Charlotte,"North Carolina"
CA-2016-115378,AJ-10945,"Ashley Jarboe",Consumer,FUR-CH-10000863,"Novimex Swivel Fabric Task Chair",Furniture,Chairs,2,301.96,0,33.2156,2016-11-18,2016-11-23,"Second Class",Central,"United States",Taylor,Michigan
CA-2017-140676,BF-11080,"Bart Folk",Consumer,OFF-PA-10004082,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book","Office Supplies",Paper,5,39.9,0,19.95,2017-09-12,2017-09-15,"First Class",East,"United States",Baltimore,Maryland
CA-2016-163216,AW-10930,"Arthur Wiediger","Home Office",OFF-LA-10000134,"Avery 511","Office Supplies",Labels,2,4.928,0.2,1.7248,2016-10-07,2016-10-10,"First Class",East,"United States",Philadelphia,Pennsylvania
CA-2017-103380,BF-11005,"Barry Franz","Home Office",OFF-ST-10003442,"Eldon Portable Mobile Manager","Office Supplies",Storage,2,56.56,0,15.2712,2017-11-21,2017-11-25,"Standard Class",West,"United States",Pasadena,California
CA-2015-118738,AG-10495,"Andrew Gjertsen",Corporate,OFF-PA-10003177,"Xerox 1999","Office Supplies",Paper,3,15.552,0.2,5.4432,2015-10-24,2015-10-30,"Standard Class",Central,"United States",Houston,Texas
CA-2014-117345,BF-10975,"Barbara Fisher",Corporate,FUR-FU-10000629,"9-3/4 Diameter Round Wall Clock",Furniture,Furnishings,4,44.128,0.2,12.1352,2014-08-01,2014-08-05,"Standard Class",South,"United States",Charlotte,"North Carolina"
CA-2017-158071,BD-11320,"Bill Donatelli",Consumer,OFF-ST-10001228,"Fellowes Personal Hanging Folder Files, Navy","Office Supplies",Storage,1,15.58,0,3.895,2017-06-10,2017-06-15,"Standard Class",West,"United States",Seattle,Washington
CA-2014-115812,BH-11710,"Brosina Hoffman",Consumer,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,7,48.86,0,14.1694,2014-06-09,2014-06-14,"Standard Class",West,"United States","Los Angeles",California
CA-2014-115812,BH-11710,"Brosina Hoffman",Consumer,OFF-AR-10002833,"Newell 322","Office Supplies",Art,4,7.28,0,1.9656,2014-06-09,2014-06-14,"Standard Class",West,"United States","Los Angeles",California
CA-2017-101483,AG-10675,"Anna Gayman",Consumer,OFF-AR-10002833,"Newell 322","Office Supplies",Art,3,4.368,0.2,0.3822,2017-07-29,2017-08-01,"Second Class",South,"United States",Jacksonville,"North Carolina"
CA-2017-149048,BM-11650,"Brian Moss",Corporate,OFF-EN-10003296,"Tyvek Side-Opening Peel & Seel Expanding Envelopes","Office Supplies",Envelopes,2,180.96,0,81.432,2017-05-13,2017-05-17,"Standard Class",Central,"United States",Columbus,Indiana
CA-2014-149958,AS-10240,"Alan Shonely",Consumer,OFF-BI-10000773,"Insertable Tab Post Binder Dividers","Office Supplies",Binders,3,7.218,0.7,-5.5338,2014-03-15,2014-03-19,"Standard Class",South,"United States",Tampa,Florida
CA-2016-139234,AF-10870,"Art Ferguson",Consumer,OFF-BI-10000773,"Insertable Tab Post Binder Dividers","Office Supplies",Binders,2,3.208,0.8,-5.2932,2016-05-06,2016-05-10,"Standard Class",Central,"United States",Chicago,Illinois
CA-2016-129714,AB-10060,"Adam Bellavance","Home Office",TEC-AC-10000290,"Sabrent 4-Port USB 2.0 Hub",Technology,Accessories,1,6.79,0,2.3086,2016-09-01,2016-09-03,"First Class",East,"United States","New York City","New York"
CA-2017-151799,BF-11170,"Ben Ferrer","Home Office",OFF-ST-10002790,"Safco Industrial Shelving","Office Supplies",Storage,1,73.85,0,2.2155,2017-12-14,2017-12-18,"Standard Class",East,"United States",Lawrence,Massachusetts
CA-2016-109820,AG-10390,"Allen Goldenen",Consumer,OFF-BI-10003460,"Acco 3-Hole Punch","Office Supplies",Binders,2,2.628,0.7,-1.9272,2016-11-20,2016-11-22,"First Class",East,"United States",Cincinnati,Ohio
CA-2014-115812,BH-11710,"Brosina Hoffman",Consumer,TEC-PH-10002275,"Mitel 5320 IP Phone VoIP phone",Technology,Phones,6,907.152,0.2,90.7152,2014-06-09,2014-06-14,"Standard Class",West,"United States","Los Angeles",California
CA-2016-137729,BF-11005,"Barry Franz","Home Office",TEC-PH-10001433,"Cisco Small Business SPA 502G VoIP phone",Technology,Phones,3,246.168,0.2,21.5397,2016-05-05,2016-05-09,"Standard Class",West,"United States","Los Angeles",California
CA-2014-115812,BH-11710,"Brosina Hoffman",Consumer,OFF-BI-10003910,"DXL Angle-View Binders with Locking Rings by Samsill","Office Supplies",Binders,3,18.504,0.2,5.7825,2014-06-09,2014-06-14,"Standard Class",West,"United States","Los Angeles",California
CA-2017-123043,AH-10195,"Alan Haines",Corporate,OFF-BI-10003910,"DXL Angle-View Binders with Locking Rings by Samsill","Office Supplies",Binders,4,24.672,0.2,7.71,2017-08-24,2017-08-29,"Standard Class",East,"United States","New York City","New York"
CA-2016-151155,AB-10255,"Alejandro Ballentine","Home Office",OFF-BI-10003910,"DXL Angle-View Binders with Locking Rings by Samsill","Office Supplies",Binders,2,15.42,0,6.939,2016-12-20,2016-12-24,"Standard Class",South,"United States",Jackson,Mississippi
CA-2015-164427,AR-10405,"Allen Rosenblatt",Corporate,TEC-AC-10004469,"Microsoft Sculpt Comfort Mouse",Technology,Accessories,6,239.7,0,105.468,2015-07-31,2015-08-06,"Standard Class",South,"United States",Hattiesburg,Mississippi
CA-2015-155040,AH-10210,"Alan Hwang",Consumer,TEC-AC-10004469,"Microsoft Sculpt Comfort Mouse",Technology,Accessories,2,79.9,0,35.156,2015-11-10,2015-11-15,"Standard Class",West,"United States",Brentwood,California
CA-2014-115812,BH-11710,"Brosina Hoffman",Consumer,OFF-AP-10002892,"Belkin F5C206VTEL 6 Outlet Surge","Office Supplies",Appliances,5,114.9,0,34.47,2014-06-09,2014-06-14,"Standard Class",West,"United States","Los Angeles",California
CA-2014-152422,BD-11635,"Brian Derr",Consumer,OFF-AP-10002892,"Belkin F5C206VTEL 6 Outlet Surge","Office Supplies",Appliances,5,91.92,0.2,11.49,2014-10-05,2014-10-10,"Second Class",East,"United States",Columbus,Ohio
CA-2016-116603,AT-10735,"Annie Thurman",Consumer,OFF-AP-10002892,"Belkin F5C206VTEL 6 Outlet Surge","Office Supplies",Appliances,2,45.96,0,13.788,2016-07-17,2016-07-22,"Standard Class",East,"United States","New York City","New York"
CA-2017-130043,BB-11545,"Brenda Bowman",Corporate,OFF-PA-10002230,"Xerox 1897","Office Supplies",Paper,8,31.872,0.2,11.5536,2017-09-15,2017-09-19,"Standard Class",Central,"United States",Houston,Texas
US-2014-122021,AC-10660,"Anna Chung",Consumer,OFF-PA-10002230,"Xerox 1897","Office Supplies",Paper,2,7.968,0.2,2.8884,2014-10-15,2014-10-17,"First Class",East,"United States",Parma,Ohio
CA-2014-125514,BM-11650,"Brian Moss",Corporate,OFF-AP-10000358,"Fellowes Basic Home/Office Series Surge Protectors","Office Supplies",Appliances,2,25.96,0,7.5284,2014-09-21,2014-09-22,"First Class",Central,"United States",Omaha,Nebraska
CA-2017-140676,BF-11080,"Bart Folk",Consumer,OFF-AP-10000358,"Fellowes Basic Home/Office Series Surge Protectors","Office Supplies",Appliances,7,90.86,0,26.3494,2017-09-12,2017-09-15,"First Class",East,"United States",Baltimore,Maryland
CA-2017-157987,AC-10615,"Ann Chong",Corporate,OFF-AP-10000358,"Fellowes Basic Home/Office Series Surge Protectors","Office Supplies",Appliances,1,12.98,0,3.7642,2017-09-02,2017-09-06,"Standard Class",East,"United States","New York City","New York"
CA-2017-121412,BG-11695,"Brooke Gillingham",Corporate,FUR-FU-10000246,"Aluminum Document Frame",Furniture,Furnishings,3,29.328,0.2,3.666,2017-09-23,2017-09-27,"Standard Class",West,"United States",Louisville,Colorado
CA-2015-100734,AC-10615,"Ann Chong",Corporate,OFF-BI-10002609,"Avery Hidden Tab Dividers for Binding Systems","Office Supplies",Binders,4,3.576,0.7,-2.8608,2015-09-15,2015-09-20,"Standard Class",East,"United States",Philadelphia,Pennsylvania
CA-2014-115812,BH-11710,"Brosina Hoffman",Consumer,FUR-TA-10001539,"Chromcraft Rectangular Conference Tables",Furniture,Tables,9,1706.184,0.2,85.3092,2014-06-09,2014-06-14,"Standard Class",West,"United States","Los Angeles",California
US-2015-146745,AS-10630,"Ann Steele","Home Office",FUR-CH-10002372,"Office Star - Ergonomically Designed Knee Chair",Furniture,Chairs,2,129.568,0.2,-12.9568,2015-09-03,2015-09-08,"Standard Class",West,"United States","San Francisco",California
CA-2014-123295,AH-10120,"Adrian Hane","Home Office",FUR-CH-10002372,"Office Star - Ergonomically Designed Knee Chair",Furniture,Chairs,4,259.136,0.2,-25.9136,2014-07-18,2014-07-18,"Same Day",West,"United States",Tucson,Arizona
CA-2014-115812,BH-11710,"Brosina Hoffman",Consumer,TEC-PH-10002033,"Konftel 250 Conference phone - Charcoal black",Technology,Phones,4,911.424,0.2,68.3568,2014-06-09,2014-06-14,"Standard Class",West,"United States","Los Angeles",California
CA-2015-105102,BM-11575,"Brendan Murry",Corporate,OFF-PA-10002365,"Xerox 1967","Office Supplies",Paper,2,12.96,0,6.2208,2015-09-15,2015-09-19,"Second Class",East,"United States","New York City","New York"
CA-2014-158442,AZ-10750,"Annie Zypern",Consumer,OFF-PA-10002365,"Xerox 1967","Office Supplies",Paper,3,15.552,0.2,5.4432,2014-03-17,2014-03-17,"Same Day",Central,"United States",Dallas,Texas
CA-2017-114412,AA-10480,"Andrew Allen",Consumer,OFF-PA-10002365,"Xerox 1967","Office Supplies",Paper,3,15.552,0.2,5.4432,2017-04-15,2017-04-20,"Standard Class",South,"United States",Concord,"North Carolina"
CA-2016-149111,BF-11170,"Ben Ferrer","Home Office",FUR-FU-10000206,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",Furniture,Furnishings,8,18.624,0.2,6.2856,2016-04-17,2016-04-21,"Second Class",South,"United States",Raleigh,"North Carolina"
CA-2014-169061,AB-10150,"Aimee Bixby",Consumer,OFF-AR-10000588,"Newell 345","Office Supplies",Art,3,59.52,0,15.4752,2014-03-05,2014-03-08,"Second Class",East,"United States",Yonkers,"New York"
CA-2017-168228,AP-10915,"Arthur Prichep",Consumer,OFF-AR-10000390,"Newell Chalk Holder","Office Supplies",Art,3,12.39,0,5.6994,2017-04-27,2017-04-29,"First Class",West,"United States","Los Angeles",California
CA-2014-106971,BM-11785,"Bryan Mills",Consumer,TEC-AC-10000844,"Logitech Gaming G510s - Keyboard",Technology,Accessories,7,475.944,0.2,95.1888,2014-09-02,2014-09-08,"Standard Class",Central,"United States","Buffalo Grove",Illinois
CA-2017-110940,AZ-10750,"Annie Zypern",Consumer,OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue","Office Supplies",Art,4,121.536,0.2,15.192,2017-07-23,2017-07-28,"Standard Class",Central,"United States",Wheeling,Illinois
CA-2015-111948,AG-10495,"Andrew Gjertsen",Corporate,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter","Office Supplies",Appliances,2,123.858,0.1,46.7908,2015-11-11,2015-11-11,"Same Day",Central,"United States",Detroit,Michigan
CA-2017-109715,AH-10585,"Angele Hood",Consumer,OFF-PA-10004965,"Xerox 1921","Office Supplies",Paper,2,15.984,0.2,4.995,2017-12-09,2017-12-14,"Standard Class",Central,"United States",Chicago,Illinois
CA-2015-107083,BB-11545,"Brenda Bowman",Corporate,OFF-BI-10000756,"Storex DuraTech Recycled Plastic Frosted Binders","Office Supplies",Binders,2,1.696,0.8,-2.544,2015-11-21,2015-11-27,"Standard Class",Central,"United States","Fort Worth",Texas
CA-2016-104150,AG-10330,"Alex Grayson",Consumer,OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White","Office Supplies",Envelopes,3,81.54,0,38.3238,2016-08-03,2016-08-05,"Second Class",Central,"United States",Tulsa,Oklahoma
CA-2017-146983,AH-10210,"Alan Hwang",Consumer,OFF-BI-10003650,"GBC DocuBind 300 Electric Binding Machine","Office Supplies",Binders,3,1577.94,0,757.4112,2017-09-02,2017-09-06,"Standard Class",South,"United States",Henderson,Kentucky
CA-2016-149797,AH-10075,"Adam Hart",Corporate,OFF-BI-10003650,"GBC DocuBind 300 Electric Binding Machine","Office Supplies",Binders,2,841.568,0.2,294.5488,2016-09-15,2016-09-20,"Standard Class",East,"United States","New York City","New York"
US-2017-105935,BD-11500,"Bradley Drucker",Consumer,FUR-FU-10002157,"Artistic Insta-Plaque",Furniture,Furnishings,4,62.72,0,24.4608,2017-01-26,2017-01-31,"Standard Class",South,"United States",Columbus,Georgia
CA-2014-110184,BF-11170,"Ben Ferrer","Home Office",OFF-ST-10000107,"Fellowes Super Stor/Drawer","Office Supplies",Storage,9,249.75,0,44.955,2014-07-12,2014-07-16,"Standard Class",West,"United States","Los Angeles",California
CA-2014-167164,AG-10270,"Alejandro Grove",Consumer,OFF-ST-10000107,"Fellowes Super Stor/Drawer","Office Supplies",Storage,2,55.5,0,9.99,2014-05-13,2014-05-15,"Second Class",West,"United States","West Jordan",Utah
CA-2016-112102,BD-11605,"Brian Dahlen",Consumer,OFF-EN-10002500,"Globe Weis Peel & Seel First Class Envelopes","Office Supplies",Envelopes,5,63.9,0,28.755,2016-04-12,2016-04-16,"Standard Class",South,"United States",Springfield,Virginia
US-2016-164588,AP-10915,"Arthur Prichep",Consumer,OFF-AR-10003056,"Newell 341","Office Supplies",Art,3,12.84,0,3.7236,2016-04-16,2016-04-23,"Standard Class",South,"United States",Columbus,Georgia
CA-2015-124107,BM-11650,"Brian Moss",Corporate,TEC-PH-10003875,"KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7",Technology,Phones,3,29.16,0,8.4564,2015-10-09,2015-10-12,"Second Class",Central,"United States","Ann Arbor",Michigan
US-2014-152030,AD-10180,"Alan Dominguez","Home Office",FUR-CH-10004063,"Global Deluxe High-Back Manager's Chair",Furniture,Chairs,3,600.558,0.3,-8.5794,2014-12-26,2014-12-28,"Second Class",Central,"United States",Houston,Texas
US-2015-146745,AS-10630,"Ann Steele","Home Office",OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels","Office Supplies",Binders,2,6.368,0.2,2.1492,2015-09-03,2015-09-08,"Standard Class",West,"United States","San Francisco",California
US-2017-148831,AH-10210,"Alan Hwang",Consumer,OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black","Office Supplies",Storage,8,348.56,0,104.568,2017-10-13,2017-10-15,"First Class",South,"United States",Louisville,Kentucky
CA-2016-157686,BD-11620,"Brian DeCherney",Consumer,FUR-CH-10001146,"Global Task Chair, Black",Furniture,Chairs,4,194.848,0.2,12.178,2016-10-01,2016-10-02,"First Class",West,"United States","San Francisco",California
CA-2016-108210,AT-10735,"Annie Thurman",Consumer,TEC-PH-10002293,"Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5",Technology,Phones,5,79.96,0.2,7.996,2016-05-30,2016-05-31,"Same Day",Central,"United States",Houston,Texas
CA-2014-117345,BF-10975,"Barbara Fisher",Corporate,OFF-PA-10002377,"Xerox 1916","Office Supplies",Paper,2,78.304,0.2,29.364,2014-08-01,2014-08-05,"Standard Class",South,"United States",Charlotte,"North Carolina"
US-2015-130491,BH-11710,"Brosina Hoffman",Consumer,OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box","Office Supplies",Art,2,5.76,0,1.728,2015-02-08,2015-02-11,"First Class",Central,"United States","Garden City",Kansas
CA-2017-117009,BK-11260,"Berenike Kampe",Consumer,OFF-SU-10001218,"Fiskars Softgrip Scissors","Office Supplies",Supplies,2,21.96,0,6.1488,2017-09-22,2017-09-28,"Standard Class",West,"United States","Santa Ana",California
CA-2016-136483,AG-10390,"Allen Goldenen",Consumer,OFF-AR-10000940,"Newell 343","Office Supplies",Art,2,4.704,0.2,0.4116,2016-12-01,2016-12-06,"Standard Class",South,"United States",Knoxville,Tennessee
CA-2016-126270,AF-10870,"Art Ferguson",Consumer,OFF-EN-10004386,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13","Office Supplies",Envelopes,3,71.97,0,35.985,2016-04-23,2016-04-27,"Standard Class",West,"United States","San Clemente",California
CA-2016-144400,AC-10420,"Alyssa Crouse",Corporate,OFF-EN-10004386,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13","Office Supplies",Envelopes,3,57.576,0.2,21.591,2016-02-23,2016-02-27,"Standard Class",East,"United States",Philadelphia,Pennsylvania
CA-2017-152912,BM-11650,"Brian Moss",Corporate,OFF-ST-10003208,"Adjustable Depth Letter/Legal Cart","Office Supplies",Storage,3,544.38,0,157.8702,2017-11-09,2017-11-12,"Second Class",East,"United States",Columbia,Maryland
CA-2017-152912,BM-11650,"Brian Moss",Corporate,OFF-ST-10003208,"Adjustable Depth Letter/Legal Cart","Office Supplies",Storage,9,1633.14,0,473.6106,2017-11-09,2017-11-12,"Second Class",East,"United States",Columbia,Maryland
CA-2017-102379,BB-11545,"Brenda Bowman",Corporate,TEC-PH-10001448,"Anker Astro 15000mAh USB Portable Charger",Technology,Phones,1,39.992,0.2,-7.9984,2017-12-02,2017-12-06,"Standard Class",West,"United States",Oakland,California
CA-2016-100993,AZ-10750,"Annie Zypern",Consumer,TEC-PH-10001448,"Anker Astro 15000mAh USB Portable Charger",Technology,Phones,4,159.968,0.2,-31.9936,2016-02-05,2016-02-10,"Standard Class",West,"United States","San Diego",California
CA-2017-151211,AH-10120,"Adrian Hane","Home Office",OFF-BI-10002735,"GBC Prestige Therm-A-Bind Covers","Office Supplies",Binders,3,102.93,0,48.3771,2017-08-17,2017-08-23,"Standard Class",South,"United States",Louisville,Kentucky
US-2015-113327,BF-11170,"Ben Ferrer","Home Office",TEC-AC-10003628,"Logitech 910-002974 M325 Wireless Mouse for Web Scrolling",Technology,Accessories,7,167.944,0.2,50.3832,2015-05-26,2015-05-29,"Second Class",South,"United States",Jacksonville,"North Carolina"
CA-2017-136448,AS-10090,"Adam Shillingsburg",Consumer,TEC-AC-10003628,"Logitech 910-002974 M325 Wireless Mouse for Web Scrolling",Technology,Accessories,2,47.984,0.2,14.3952,2017-09-16,2017-09-18,"First Class",East,"United States",Philadelphia,Pennsylvania
CA-2014-124737,AP-10915,"Arthur Prichep",Consumer,FUR-FU-10003274,"Regeneration Desk Collection",Furniture,Furnishings,3,4.224,0.2,1.2672,2014-08-23,2014-08-27,"Standard Class",West,"United States",Denver,Colorado
CA-2017-104731,AM-10705,"Anne McFarland",Consumer,FUR-FU-10003274,"Regeneration Desk Collection",Furniture,Furnishings,5,8.8,0,3.872,2017-07-21,2017-07-27,"Standard Class",South,"United States",Salem,Virginia
CA-2017-118136,BB-10990,"Barry Blumstein",Corporate,OFF-AR-10001427,"Newell 330","Office Supplies",Art,1,5.98,0,1.5548,2017-09-16,2017-09-17,"First Class",West,"United States",Inglewood,California
CA-2014-156587,AB-10015,"Aaron Bergman",Consumer,OFF-AR-10001427,"Newell 330","Office Supplies",Art,3,17.94,0,4.6644,2014-03-07,2014-03-08,"First Class",West,"United States",Seattle,Washington
CA-2017-132976,AG-10495,"Andrew Gjertsen",Corporate,OFF-PA-10000673,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad","Office Supplies",Paper,2,11.648,0.2,4.0768,2017-10-13,2017-10-17,"Standard Class",East,"United States",Philadelphia,Pennsylvania
CA-2016-157000,AM-10360,"Alice McCarthy",Corporate,OFF-PA-10001950,"Southworth 25% Cotton Antique Laid Paper & Envelopes","Office Supplies",Paper,3,20.016,0.2,6.255,2016-07-16,2016-07-22,"Standard Class",Central,"United States","Grand Prairie",Texas
CA-2016-145240,BG-11740,"Bruce Geld",Consumer,OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black","Office Supplies",Storage,1,10.784,0.2,0.8088,2016-09-06,2016-09-08,"First Class",Central,"United States",Houston,Texas
CA-2015-121391,AA-10315,"Alex Avila",Consumer,OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black","Office Supplies",Storage,2,26.96,0,7.0096,2015-10-04,2015-10-07,"First Class",West,"United States","San Francisco",California
US-2017-118941,BB-11545,"Brenda Bowman",Corporate,OFF-AR-10001953,"Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener","Office Supplies",Art,5,219.9,0,59.373,2017-08-12,2017-08-12,"Same Day",East,"United States",Columbia,Maryland
CA-2014-105270,AP-10915,"Arthur Prichep",Consumer,OFF-AR-10003156,"50 Colored Long Pencils","Office Supplies",Art,3,30.48,0,7.9248,2014-11-11,2014-11-18,"Standard Class",West,"United States","Los Angeles",California
CA-2016-158435,AG-10900,"Arthur Gainer",Consumer,OFF-LA-10002475,"Avery 519","Office Supplies",Labels,2,14.62,0,6.8714,2016-05-17,2016-05-18,"First Class",East,"United States",Waterbury,Connecticut
US-2017-105046,BE-11335,"Bill Eplett","Home Office",TEC-PH-10004536,"Avaya 5420 Digital phone",Technology,Phones,2,269.98,0,67.495,2017-07-17,2017-07-23,"Standard Class",East,"United States",Rome,"New York"
CA-2017-145877,AS-10090,"Adam Shillingsburg",Consumer,OFF-EN-10001990,"Staple envelope","Office Supplies",Envelopes,5,28.4,0,13.348,2017-04-01,2017-04-04,"Second Class",Central,"United States",Springfield,Missouri
CA-2017-132976,AG-10495,"Andrew Gjertsen",Corporate,OFF-ST-10000876,"Eldon Simplefile Box Office","Office Supplies",Storage,6,59.712,0.2,5.9712,2017-10-13,2017-10-17,"Standard Class",East,"United States",Philadelphia,Pennsylvania
CA-2016-169838,BB-11545,"Brenda Bowman",Corporate,OFF-BI-10004002,"Wilson Jones International Size A4 Ring Binders","Office Supplies",Binders,1,17.3,0,8.304,2016-11-25,2016-11-29,"Standard Class",Central,"United States",Jackson,Michigan
CA-2017-132976,AG-10495,"Andrew Gjertsen",Corporate,OFF-LA-10002043,"Avery 489","Office Supplies",Labels,3,24.84,0.2,8.694,2017-10-13,2017-10-17,"Standard Class",East,"United States",Philadelphia,Pennsylvania
CA-2016-123015,AJ-10795,"Anthony Johnson",Corporate,OFF-BI-10004967,"Round Ring Binders","Office Supplies",Binders,3,4.992,0.2,1.6848,2016-12-26,2016-12-30,"Standard Class",East,"United States","New York City","New York"
CA-2016-158869,AH-10690,"Anna Häberlin",Corporate,OFF-PA-10000474,"Easy-staple paper","Office Supplies",Paper,2,70.88,0,33.3136,2016-08-06,2016-08-07,"First Class",East,"United States","New York City","New York"
CA-2015-110863,AA-10645,"Anna Andreadi",Consumer,OFF-PA-10000474,"Easy-staple paper","Office Supplies",Paper,3,106.32,0,49.9704,2015-11-17,2015-11-24,"Standard Class",Central,"United States","Oklahoma City",Oklahoma
CA-2014-139892,BM-11140,"Becky Martin",Consumer,OFF-AR-10004441,"BIC Brite Liner Highlighters","Office Supplies",Art,3,9.936,0.2,2.7324,2014-09-08,2014-09-12,"Standard Class",Central,"United States","San Antonio",Texas
CA-2017-102519,BM-11650,"Brian Moss",Corporate,TEC-AC-10001772,"Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive",Technology,Accessories,9,143.73,0,56.0547,2017-11-27,2017-11-29,"First Class",Central,"United States",Milwaukee,Wisconsin
